CAC40,Nikkei225
3911.709961,11008.90039
4033.459961,11192.16992
4017.889893,11049.11035
4096.180176,11037.29004
4131.830078,11192.33008
4162.470215,11300.04981
4184.100098,11304.23047
4220.910156,11514.03027
4199.870117,11537.03027
4269.620117,11630.12988
4300.310059,11565.99023
4373.77002,11758.67969
4415.52002,11695.04981
4451.740234,11899.59961
4421.700195,11766.48047
4476.47998,12261.67969
4487.899902,12291.73047
4342.700195,12439.48047
4404.950195,12600
4491.680176,12692.04004
4509.490234,12958.67969
4477.200195,13159.36035
4600.02002,13574.29981
4528.790039,13227.74023
4482.129883,13420.54004
4366.52002,13199.9502
4326.709961,13346.54004
4498.700195,14075.95996
4536.490234,14155.05957
4556.22998,14623.12012
4600.47998,14784.29004
4662.5,15421.59961
4661.009766,15404.04981
4704.410156,15173.07031
4757.740234,15941.37012
4715.22998,16111.42969
4867.149902,16428.21094
4850.529785,16454.94922
4773.47998,15696.69043
4956.600098,16460.67969
4937.560059,16659.64063
4910.819824,16257.83008
5000,15713.4502
5073.950195,16101.91016
4989.149902,15663.33984
5069.27002,16115.62988
5141.080078,16339.73047
5218.709961,16560.86914
5220.850098,17059.66016
5174.959961,17563.36914
5102.620117,17233.82031
5252.379883,17403.96094
5188.399902,16906.23047
5286.399902,17153.76953
5150.450195,16601.7793
4944.569824,16155.4502
5045.089844,15970.75977
4959.700195,15789.30957
4768.180176,14750.83984
4694.890137,14879.33984
4817.629883,15124.04004
4965.959961,15505.17969
4953.709961,15307.61035
4780.790039,14845.24023
4818.549805,14821.25977
5028.509766,15342.87012
5040.950195,15499.17969
4985.52002,15565.01953
5135.689941,16105.98047
5111.129883,15938.66016
5183.450195,16134.25
5073.569824,16080.45996
5144.879883,15866.92969
5141.950195,15634.66992
5250.009766,16127.58008
5282.060059,16436.06055
5353.22998,16536.53906
5375.350098,16651.63086
5396.029785,16669.07031
5336.299805,16350.01953
5447.5,16112.42969
5439.709961,16091.73047
5389.459961,15734.59961
5254.049805,16321.78027
5384.160156,16417.82031
5541.620117,16914.31055
5453.939941,17104.96094
5541.759766,17225.83008
5517.350098,17091.58984
5617.620117,17057.00977
5614.700195,17310.43945
5582.299805,17421.92969
5677.299805,17547.10938
5692.450195,17504.33008
5713.589844,17875.65039
5716.379883,18188.41992
5424.700195,17217.92969
5537.839844,17164.03906
5382.160156,16744.15039
5634.75,17480.60938
5634.160156,17287.65039
5741.379883,17484.7793
5789.339844,17363.94922
5938.899902,17452.61914
5930.77002,17400.41016
6068.830078,17394.91992
6050.629883,17553.7207
6101.140137,17399.58008
6057.490234,17481.21094
6168.149902,17958.88086
5883.290039,17779.08984
6105.279785,17971.49023
6023.25,18188.63086
6054.930176,18138.35938
6102.689941,18140.93945
6117.959961,18238.94922
5957.160156,18157.92969
5643.959961,17283.81055
5597.890137,16979.85938
5448.629883,16764.08984
5363.629883,15273.67969
5569.379883,16248.96973
5662.700195,16569.08984
5430.100098,16122.16016
5538.919922,16127.41992
5700.649902,16312.61035
5715.689941,16785.68945
5843.240234,17065.03906
5843.950195,17331.16992
5740.47998,16814.36914
5794.870117,16505.63086
5720.419922,16517.48047
5524.180176,15583.41992
5523.629883,15154.61035
5521.169922,14888.76953
5670.569824,15680.66992
5718.75,15956.37012
5605.359863,15514.50977
5602.77002,15257
5627.25,15307.78027
5446.790039,14691.41016
5371.410156,14110.79004
5092.399902,13861.29004
4878.120117,13629.16016
4978.060059,13497.16016
4709.649902,13017.24023
4771.790039,13622.55957
4824.549805,13500.45996
4790.660156,13603.01953
4618.959961,12782.79981
4592.149902,12241.59961
4533.720215,12482.57031
4695.919922,12820.46973
4900.879883,13293.21973
4797.930176,13323.73047
4961.689941,13476.4502
4978.209961,13863.46973
5069.709961,14049.25977
4960.560059,13655.33984
5078.040039,14219.48047
4933.77002,14012.2002
5014.279785,14338.54004
4795.319824,14489.44043
